Attack,Fraction,Estimators,Accuracy,TP,TN,FP,FN,ROC AUC,Precision,Recall,F1-Score
OS Scan,0.1,50,1.0,1897,49039,0,0,1.0,1.0,1.0,1.0
OS Scan,0.1,100,1.0,1897,49039,0,0,1.0,1.0,1.0,1.0
OS Scan,0.25,30,0.9999842938926802,4937,122400,2,0,0.9999999809696752,0.9999843002527156,0.9999842938926802,0.9999842954188526
OS Scan,0.25,50,0.9999842938926802,4937,122400,2,0,0.9999999520104854,0.9999843002527156,0.9999842938926802,0.9999842954188526
OS Scan,0.25,100,0.9999842938926802,4937,122400,2,0,0.9999999933807566,0.9999843002527156,0.9999842938926802,0.9999842954188526
OS Scan,0.5,30,0.9999803673658502,9723,244950,2,3,0.9999999953828134,0.9999803666064276,0.9999803673658502,0.9999803668812184
OS Scan,0.5,50,0.9999842938926802,9724,244950,2,2,0.9999999958025576,0.9999842938926802,0.9999842938926802,0.9999842938926802
OS Scan,0.5,100,0.9999842938926802,9724,244950,2,2,0.9999999955926856,0.9999842938926802,0.9999842938926802,0.9999842938926802
OS Scan,0.75,30,0.9999816762081268,14826,367184,3,4,0.999999996143522,0.9999816757070688,0.9999816762081268,0.9999816759116948
OS Scan,0.75,50,0.9999842938926802,14827,367184,3,3,0.9999999960517012,0.9999842938926802,0.9999842938926802,0.9999842938926802
OS Scan,0.75,100,0.9999895292617867,14828,367185,2,2,0.9999999968780894,0.9999895292617867,0.9999895292617867,0.9999895292617867
OS Scan,1.0,30,0.99999214694634,19706,489646,1,3,0.9999999992746454,0.999992146771152,0.99999214694634,0.999992146755124
OS Scan,1.0,50,0.99999607347317,19708,489646,1,1,0.9999999992746454,0.99999607347317,0.99999607347317,0.99999607347317
OS Scan,1.0,100,0.999994110209755,19707,489646,1,2,0.9999999994818896,0.9999941101181564,0.999994110209755,0.999994110138051
Fuzzing,0.1,30,0.9999851466765688,12850,54474,0,1,1.0,0.999985146949232,0.9999851466765688,0.9999851464557714
Fuzzing,0.1,50,0.9999851466765688,12850,54474,0,1,1.0,0.999985146949232,0.9999851466765688,0.9999851464557714
Fuzzing,0.1,100,0.9999851466765688,12850,54474,0,1,1.0,0.999985146949232,0.9999851466765688,0.9999851464557714
Fuzzing,0.25,30,0.999982175853034,32499,135809,2,1,0.9999999951289772,0.9999821761748984,0.999982175853034,0.99998217595733
Fuzzing,0.25,50,0.999982175853034,32500,135808,3,0,0.9999999939961812,0.999982177498188,0.999982175853034,0.9999821761659086
Fuzzing,0.25,100,0.999982175853034,32500,135808,3,0,0.9999999928633854,0.999982177498188,0.999982175853034,0.9999821761659086
Fuzzing,0.5,30,0.999997029300014,64451,272169,1,0,0.9999999990308768,0.9999970293461056,0.999997029300014,0.9999970293088084
Fuzzing,0.5,50,0.999997029300014,64451,272169,1,0,0.999999999401424,0.9999970293461056,0.999997029300014,0.9999970293088084
Fuzzing,0.5,100,0.999997029300014,64451,272169,1,0,0.9999999994299276,0.9999970293461056,0.999997029300014,0.9999970293088084
Fuzzing,0.75,30,0.9999940586059112,97434,407495,2,1,0.999994862921001,0.9999940586417028,0.9999940586059112,0.9999940586175108
Fuzzing,0.75,50,0.9999940586059112,97434,407495,2,1,0.9999999892959156,0.9999940586417028,0.9999940586059112,0.9999940586175108
Fuzzing,0.75,100,0.9999940586059112,97434,407495,2,1,0.999999992519734,0.9999940586417028,0.9999940586059112,0.9999940586175108
Fuzzing,1.0,30,0.999994058600028,130091,543147,0,4,0.9999999946575684,0.999994058643783,0.999994058600028,0.9999940585652962
Fuzzing,1.0,50,0.999994058600028,130091,543147,0,4,0.9999999967945412,0.999994058643783,0.999994058600028,0.9999940585652962
Fuzzing,1.0,100,0.999995543950021,130092,543147,0,3,0.9999999973677026,0.9999955439746332,0.999995543950021,0.9999955439304844
ARP MitM,0.1,30,0.9999866895606224,34497,40631,1,0,0.9999999989298572,0.9999866899464546,0.9999866895606224,0.9999866895751846
ARP MitM,0.1,50,0.9999866895606224,34497,40631,1,0,0.9999999985731428,0.9999866899464546,0.9999866895606224,0.9999866895751846
ARP MitM,0.1,100,0.9999866895606224,34497,40631,1,0,0.9999999992865716,0.9999866899464546,0.9999866895606224,0.9999866895751846
