Feature,Importance,model
feature_13,0.048896571262801,Video Injection_feature_importance_0.1_100
feature_80,0.0428645094384435,Video Injection_feature_importance_0.1_100
feature_10,0.0394090163763213,Video Injection_feature_importance_0.1_100
feature_59,0.038614214200128,Video Injection_feature_importance_0.1_100
feature_62,0.0351892865605339,Video Injection_feature_importance_0.1_100
feature_30,0.033036037089434,Video Injection_feature_importance_0.1_100
feature_28,0.0318123374163757,Video Injection_feature_importance_0.1_100
feature_75,0.0298230495417597,Video Injection_feature_importance_0.1_100
feature_109,0.0297291261347249,Video Injection_feature_importance_0.1_100
feature_25,0.0292362141274598,Video Injection_feature_importance_0.1_100
feature_79,0.0287284023280746,Video Injection_feature_importance_0.1_100
feature_14,0.0282656343500287,Video Injection_feature_importance_0.1_100
feature_60,0.0266903939659402,Video Injection_feature_importance_0.1_100
feature_15,0.0243922970662507,Video Injection_feature_importance_0.1_100
feature_64,0.0233512090679602,Video Injection_feature_importance_0.1_100
feature_61,0.0221629749551381,Video Injection_feature_importance_0.1_100
feature_63,0.0220389880819982,Video Injection_feature_importance_0.1_100
feature_52,0.0173403038302595,Video Injection_feature_importance_0.1_100
feature_112,0.0167825955504878,Video Injection_feature_importance_0.1_100
feature_113,0.0165009298320417,Video Injection_feature_importance_0.1_100
feature_72,0.0161121647468757,Video Injection_feature_importance_0.1_100
feature_7,0.0159536767945352,Video Injection_feature_importance_0.1_100
feature_110,0.0155540575835421,Video Injection_feature_importance_0.1_100
feature_45,0.0143920433047478,Video Injection_feature_importance_0.1_100
feature_65,0.0139474172067345,Video Injection_feature_importance_0.1_100
feature_55,0.010113135815374,Video Injection_feature_importance_0.1_100
feature_111,0.009654249225702,Video Injection_feature_importance_0.1_100
feature_95,0.0093407535515477,Video Injection_feature_importance_0.1_100
feature_104,0.0078583970999791,Video Injection_feature_importance_0.1_100
feature_38,0.0073869084991281,Video Injection_feature_importance_0.1_100
feature_19,0.0068754816747265,Video Injection_feature_importance_0.1_100
feature_56,0.0060053959935004,Video Injection_feature_importance_0.1_100
feature_54,0.0056471634472774,Video Injection_feature_importance_0.1_100
feature_77,0.0053006659986936,Video Injection_feature_importance_0.1_100
feature_106,0.005094873382608,Video Injection_feature_importance_0.1_100
feature_88,0.0045588290662251,Video Injection_feature_importance_0.1_100
feature_69,0.0041561519386648,Video Injection_feature_importance_0.1_100
feature_22,0.0039917439360092,Video Injection_feature_importance_0.1_100
feature_31,0.0038812935836957,Video Injection_feature_importance_0.1_100
feature_12,0.0032273561842756,Video Injection_feature_importance_0.1_100
feature_76,0.0028122621994898,Video Injection_feature_importance_0.1_100
feature_57,0.0025186828405533,Video Injection_feature_importance_0.1_100
feature_66,0.0023200346528989,Video Injection_feature_importance_0.1_100
feature_103,0.0018687992776558,Video Injection_feature_importance_0.1_100
feature_73,0.0017185021484522,Video Injection_feature_importance_0.1_100
feature_58,0.0016690056844816,Video Injection_feature_importance_0.1_100
feature_27,0.001542046560478,Video Injection_feature_importance_0.1_100
feature_105,0.0015329754710974,Video Injection_feature_importance_0.1_100
feature_11,0.0015007478222909,Video Injection_feature_importance_0.1_100
feature_16,0.0013335724968331,Video Injection_feature_importance_0.1_100
feature_1,0.0007440698257439,Video Injection_feature_importance_0.1_100
feature_53,0.0006786597556528,Video Injection_feature_importance_0.1_100
feature_81,0.0006169300645252,Video Injection_feature_importance_0.1_100
feature_84,0.0004985620804618,Video Injection_feature_importance_0.1_100
feature_50,0.0004774803300308,Video Injection_feature_importance_0.1_100
feature_26,0.0004544044998452,Video Injection_feature_importance_0.1_100
feature_4,0.0004203678176726,Video Injection_feature_importance_0.1_100
feature_44,0.0004159699560663,Video Injection_feature_importance_0.1_100
